orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,ἡμέρᾳ,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐποίκιλλε,(),False,xx̀,False,False,False,False,,,,,,,,,,
τετάρτῃ,τετάρτῃ,τετάρτῃ,τετάρτῃ,τῃ,τ,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,ἡμέρᾳ,(),False,xxxx́xxxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
ἡμέρᾳ,ἡμέρᾳ,ἡμέρᾳ,ἡμέρᾳ,ρᾳ,η,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἐποίκιλλε,(),False,x̔xx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
μετὰ,μετὰ,μετὰ,μετὰ,τὰ,μ,-20.0,ADP,r--------,,case,0.0,γῆν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γῆν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐποίκιλλε,(),False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,οὐρανὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
οὐρανὸν,οὐρανὸν,οὐρανὸν,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐποίκιλλε,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἐποίκιλλε,ἐποίκιλλε,ἐποίκιλλε,ἐποίκιλλε,λλε,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐποίκιλλε,(),False,x̓xxx́xxxx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act,
διακοσμῶν,διακοσμῶν,διακοσμῶν,διακοσμῶν,ῶν,δ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obj,0.0,ἐποίκιλλε,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
