orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect
ἀπορήσειε,ἀπορήσειε,ἀπορήω,ἀπορήσειε,ειε,α,-20.0,VERB,v3saoa---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀπορήσειε,(),False,x̓xxxx́xxxx,False,False,False,False,Opt,Sing,3,Past,Fin,Act,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,discourse,0.0,ἀπορήσειε,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἀπορήσειε,(),False,’,False,True,False,False,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,ἀπορήσειε,(),False,x̓́x,False,False,False,False,,,,,,,,,
τις,τις,τὶς,τις,τις,τ,-20.0,ADJ,Px,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀπορήσειε,(),True,xxx,True,False,False,False,,Sing,,,,,Nom,Masc,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,σκοποῦ,(),False,xx̓,False,False,False,False,,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,σκοποῦ,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
σκοποῦ,σκοποῦ,σκοποῦ,σκοποῦ,οῦ,σ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,ἀπορήσειε,(),False,xxxx͂,False,False,False,False,,Sing,,,,,Gen,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δήποτε,(),False,",",False,True,False,False,,,,,,,,,
τί,τί,τίς,τί,τί,τ,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,δήποτε,(),False,xx́,False,False,False,False,,Sing,,,,,Acc,Neut,
δήποτε,δήποτε,δήποτε,δήποτε,οτε,δ,-20.0,ADV,d--------,,advmod,0.0,ἀπορήσειε,(),False,xx́xxxx,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γένεσιν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
ἀνθρώπου,ἀνθρώπου,ἀνθρώπον,ἀνθρώπου,που,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,γένεσιν,(),False,x̓xxxx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc,
μόνου,μόνου,μόνος,μόνου,νου,μ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,γένεσιν,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc,
γένεσιν,γένεσιν,γένεσις,γένεσιν,σιν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,·,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἑνὶ,(),False,xx̓,False,False,False,False,,,,,,,,,
ἑνὶ,ἑνὶ,ἑνὶ,ἑνὶ,νὶ,ε,-20.0,NUM,Ma,"Case=Dat|Gender=Masc,Neut|Number=Sing",nummod,0.0,δημιουργῷ,(),False,x̔xx̀,False,False,False,False,,Sing,,,,,Dat,"Masc,Neut",
δημιουργῷ,δημιουργῷ,δημιουργῷ,δημιουργῷ,ῷ,δ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,γένεσιν,(),False,xxxx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
καθάπερ,καθάπερ,καθάπερ,καθάπερ,περ,κ,-20.0,SCONJ,c--------,,mark,0.0,ἀνέθηκεν,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἄλλα,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut,
ἄλλα,ἄλλα,ἄλλος,ἄλλα,λλα,α,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἀνέθηκεν,(),False,x̓́xxx,False,False,False,False,,Plur,,,,,Acc,Neut,
ἀνέθηκεν,ἀνέθηκεν,ἀνέθηκεν,ἀνέθηκεν,κεν,α,-20.0,VERB,v3saia---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,δημιουργῷ,(),False,x̓xx́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,Perf
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ᾽,(),False,",",False,True,False,False,,,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,nmod,0.0,γένεσιν,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,
ὡσανεὶ,ὡσανεὶ,ὡσανεὶ,ὡσανεὶ,εὶ,ω,-20.0,ADV,d--------,,advmod,0.0,πλείοσι,(),False,x̔xxxx̀,False,False,False,False,,,,,,,,,
πλείοσι,πλείοσι,πλείοσι,πλείοσι,οσι,π,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,amod,0.0,γένεσιν,(),False,xxxx́xxx,False,False,False,False,,Plur,,,,,Dat,Masc,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀπορήσειε,(),False,·,False,True,False,False,,,,,,,,,
