orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice
πόλιν,πόλιν,πόλις,πόλιν,λιν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,κτίζειν,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,
κτίζειν,κτίζειν,κτίζω,κτίζειν,ειν,κ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,ROOT,0.0,κτίζειν,(),False,xxx́xxxx,False,False,False,False,,,,Pres,Inf,Act
διανοουμένου,διανοουμένου,διανοουμένου,διανοουμένου,νου,δ,-20.0,VERB,v-sppemg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,κτίζειν,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,Pres,Part,Mid
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,κτίζειν,(),False,.,False,True,False,False,,,,,,
