orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἐποίησε,(),False,xxx͂xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,ἐποίησε,(),False,xx̓͂x,False,False,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ποιῶν,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
ποιῶν,ποιῶν,ποιῶ,ποιῶν,ῶν,π,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nsubj,0.0,ἐποίησε,(),False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,
ἐποίησε,ἐποίησε,ἐποίησε,ἐποίησε,ησε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐποίησε,(),False,x̓xxx́xxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,
οὐρανὸν,οὐρανὸν,οὐρανὸς,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐποίησε,"(ἰδέαν,)",False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
ἀσώματον,ἀσώματον,ἀσώματος,ἀσώματον,τον,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,οὐρανὸν,(),False,x̓xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἀσώματον,(),False,xxx̀,False,False,False,False,,,,,,,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐποίησε,(),False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἀόρατον,ἀόρατον,ἀόρατος,ἀόρατον,τον,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,γῆν,(),False,x̓x́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἐποίησε,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀέρος,ἀέρος,ἀέρος,ἀέρος,ρος,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἰδέαν,"(κενοῦ,)",False,x̓x́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,
ἰδέαν,ἰδέαν,ἰδέα,ἰδέαν,́αν,ι,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,οὐρανὸν,"(οὐρανὸν,)",False,x̓xx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἰδέαν,(),False,xxx̀,False,False,False,False,,,,,,,,,
κενοῦ,κενοῦ,κενο͂,κενοῦ,οῦ,κ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,conj,0.0,ἀέρος,"(ἀέρος,)",False,xxxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐποίησε,(),False,·,False,True,False,False,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἐπεφήμισε,(),False,x̔͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἐπεφήμισε,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐπεφήμισε,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἐπεφήμισε,ἐπεφήμισε,ἐπεφήμισε,ἐπεφήμισε,ισε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐπεφήμισε,"(ἄβυσσον,)",False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,
