orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
οἵ,οἵ,οἵ,οἵ,ἵ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,πλάνητες,(),False,xx̔́,False,False,False,False,Nom,Masc,Plur,,,,,
γε,γε,γε,γε,γε,γ,-20.0,ADV,d--------,,advmod,0.0,διακοσμοῦνται,(),True,xx,True,False,False,False,,,,,,,,
μὴν,μὴν,μὴν,μὴν,ὴν,μ,-20.0,ADV,d--------,,advmod,0.0,διακοσμοῦνται,(),False,xx̀x,False,False,False,False,,,,,,,,
πλάνητες,πλάνητες,πλάνης,πλάνητες,τες,π,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,διακοσμοῦνται,(),False,xxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,c--------,Case=Nom|Gender=Fem|Number=Sing,dep,0.0,διακοσμοῦνται,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,
ἀντίρροπος,ἀντίρροπος,ἀντίρροπος,ἀντίρροπος,πος,α,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,amod,0.0,στρατιὰ,(),False,x̓xxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,
στρατιὰ,στρατιὰ,στρατιὰ,στρατιὰ,ιὰ,σ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,conj,0.0,συμπάθειαν,"(συμπάθειαν,)",False,xxxx̀,False,False,False,False,Dat,Fem,Sing,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,στρατιὰ,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀπλανῶν,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
ἀπλανῶν,ἀπλανῶν,ἀπλανῶν,ἀπλανῶν,ῶν,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,στρατιὰ,(),False,x̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,στρατιὰ,(),False,",",False,True,False,False,,,,,,,,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,dep,0.0,διακοσμοῦνται,(),False,x̔xxx̀,False,False,False,False,,,,,,,,
διακοσμοῦνται,διακοσμοῦνται,διακοσμοῦνται,διακοσμοῦνται,ται,δ,-20.0,VERB,v3ppie---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,διακοσμοῦνται,(),False,xxxx͂xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Mid
τάξεσι,τάξεσι,τάξεσι,τάξεσι,εσι,τ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,διακοσμοῦνται,(),False,xx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπιδεικνύμενοι,(),False,",",False,True,False,False,,,,,,,,
πλείστην,πλείστην,πλείστην,πλείστην,την,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,συμπάθειαν,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
ἐπιδεικνύμενοι,ἐπιδεικνύμενοι,ἐπιδεικνύμενοι,ἐπιδεικνύμενοι,νοι,ε,-20.0,VERB,v-pppemn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,διακοσμοῦνται,(),False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,Pres,Part,Mid
συμπάθειαν,συμπάθειαν,συμπάθεια,συμπάθειαν,ιαν,σ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐπιδεικνύμενοι,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἀέρα,(),False,xxx̀x,False,False,False,False,,,,,,,,
ἀέρα,ἀέρα,ἀέρα,ἀέρα,́ρα,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,συμπάθειαν,"(γῆν,)",False,x̓x́xx,False,False,False,False,Acc,Masc,Sing,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀέρα,(),False,xxx̀,False,False,False,False,,,,,,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἀέρα,"(ἀέρα,)",False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,διακοσμοῦνται,(),False,·,False,True,False,False,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,μεταβολὰς,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,τρέπουσι,(),False,xx̀x,False,False,False,False,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,τρέπουσι,(),False,xx̀x,False,False,False,False,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ὥρας,(),False,xx̓x,False,False,False,False,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ὥρας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
ἐτησίους,ἐτησίους,ἐτησίους,ἐτησίους,ους,ε,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἐπικαλουμένας,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
ἐπικαλουμένας,ἐπικαλουμένας,ἐπικαλουμένας,ἐπικαλουμένας,νας,ε,-20.0,VERB,v-pppefa-,Case=Acc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,ὥρας,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,Pres,Part,Mid
ὥρας,ὥρας,ὥρα,ὥρας,ρας,ω,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,τρέπουσι,(),False,x̔́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
τρέπουσι,τρέπουσι,τρέπω,τρέπουσι,υσι,τ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,τρέπουσι,"(μεταβάλλουσι,)",False,xxx́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τρέπουσι,(),False,xxx̀,False,False,False,False,,,,,,,,
μεταβάλλουσι,μεταβάλλουσι,μεταβάλλω,μεταβάλλουσι,υσι,μ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,τρέπουσι,"(τρέπουσι,)",False,xxxx́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἑκάστην,(),False,xxxx̀,False,False,False,False,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ἑκάστην,(),False,’,False,True,False,False,,,,,,,,
ἑκάστην,ἑκάστην,ἑκάστην,ἑκάστην,την,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,μεταβάλλουσι,(),False,x̔xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
μυρίας,μυρίας,μυρίος,μυρίας,́ας,μ,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,μεταβολὰς,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,
ὅσας,ὅσας,ὅσος,ὅσας,σας,ο,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,μεταβολὰς,(),False,x̔́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
ἐμποιοῦντες,ἐμποιοῦντες,ἐμποιοῦντες,ἐμποιοῦντες,τες,ε,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,μεταβάλλουσι,"(νηνεμίαις, αἰθρίαις, νεφώσεσι, βίαις)",False,x̓xxxx͂xxxx,False,False,False,False,Nom,Masc,Plur,,,Pres,Part,Act
μεταβολὰς,μεταβολὰς,μεταβολὰς,μεταβολὰς,ὰς,μ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐμποιοῦντες,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
νηνεμίαις,νηνεμίαις,νηνεμία,νηνεμίαις,αις,ν,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,ἐμποιοῦντες,"(ἐμποιοῦντες, αἰθρίαις, νεφώσεσι, βίαις)",False,xxxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,αἰθρίαις,(),False,",",False,True,False,False,,,,,,,,
αἰθρίαις,αἰθρίαις,αἰθρίη,αἰθρίαις,αις,α,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,νηνεμίαις,"(ἐμποιοῦντες, νηνεμίαις, νεφώσεσι, βίαις)",False,xx̓xxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,νεφώσεσι,(),False,",",False,True,False,False,,,,,,,,
νεφώσεσι,νεφώσεσι,νεφώσεσι,νεφώσεσι,εσι,ν,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,νηνεμίαις,"(ἐμποιοῦντες, νηνεμίαις, αἰθρίαις, βίαις)",False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,βίαις,(),False,",",False,True,False,False,,,,,,,,
βίαις,βίαις,βία,βίαις,αις,β,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,νηνεμίαις,"(ἐμποιοῦντες, νηνεμίαις, αἰθρίαις, νεφώσεσι)",False,xx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,
ἐξαισίοις,ἐξαισίοις,ἐξαισίοις,ἐξαισίοις,οις,ε,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,amod,0.0,νηνεμίαις,(),False,x̓xxxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,
πνευμάτων,πνευμάτων,πνευμάτων,πνευμάτων,των,π,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,νηνεμίαις,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,τρέπουσι,(),False,·,False,True,False,False,,,,,,,,
πάλιν,πάλιν,πάλιν,πάλιν,λιν,π,-20.0,ADV,d--------,,advmod,0.0,πλημμυροῦσι,(),False,xx́xxx,False,False,False,False,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,πλημμυροῦσι,(),True,xx,True,False,False,False,,,,,,,,
ποταμοὺς,ποταμοὺς,ποταμοὺς,ποταμοὺς,ὺς,π,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,πλημμυροῦσι,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,
πλημμυροῦσι,πλημμυροῦσι,πλημμυροῦσι,πλημμυροῦσι,͂σι,π,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,πλημμυροῦσι,"(μειοῦσι, λιμνάζουσι, ἀφαυαίνουσι)",False,xxxx͂xx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,πλημμυροῦσι,(),False,xxx̀,False,False,False,False,,,,,,,,
μειοῦσι,μειοῦσι,μειοῦσι,μειοῦσι,͂σι,μ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,πλημμυροῦσι,"(πλημμυροῦσι, λιμνάζουσι, ἀφαυαίνουσι)",False,xxxx͂xx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,πλημμυροῦσι,(),False,xxx̀,False,False,False,False,,,,,,,,
πεδία,πεδία,πεδίον,πεδία,ία,π,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,λιμνάζουσι,(),False,xxxx́x,False,False,False,False,Acc,Neut,Plur,,,,,
λιμνάζουσι,λιμνάζουσι,λιμνάζω,λιμνάζουσι,υσι,λ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,πλημμυροῦσι,"(πλημμυροῦσι, μειοῦσι, ἀφαυαίνουσι)",False,xxxx́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πλημμυροῦσι,(),False,xxx̀,False,False,False,False,,,,,,,,
τοὐναντίον,τοὐναντίον,τοὐναντίον,τοὐναντίον,́ον,τ,-20.0,ADV,d--------,,advmod,0.0,ἀφαυαίνουσι,(),False,xxx̓xxxx́xx,False,False,False,False,,,,,,,,
ἀφαυαίνουσι,ἀφαυαίνουσι,ἀφαυαίνω,ἀφαυαίνουσι,υσι,α,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,πλημμυροῦσι,"(πλημμυροῦσι, μειοῦσι, λιμνάζουσι)",False,x̓xxxx́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,πλημμυροῦσι,(),False,·,False,True,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἐργάζονται,(),False,xxx̀,False,False,False,False,,,,,,,,
πελαγῶν,πελαγῶν,πελαγῶν,πελαγῶν,ῶν,π,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,τροπὰς,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,
ἐργάζονται,ἐργάζονται,ἐργάζομαι,ἐργάζονται,ται,ε,-20.0,VERB,v3ppie---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐργάζονται,(),False,x̓xxx́xxxx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Mid
τροπὰς,τροπὰς,τροπὰς,τροπὰς,ὰς,τ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐξαναχωρούντων,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
ἐξαναχωρούντων,ἐξαναχωρούντων,ἐξαναχωρούντων,ἐξαναχωρούντων,των,ε,-20.0,VERB,v-pppamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐργάζονται,"(χρωμένων,)",False,x̓xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,,,Pres,Part,Act
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ἐξαναχωρούντων,(),False,x̓̀,False,False,False,False,,,,,,,,
παλιρροίαις,παλιρροίαις,παλιρροίη,παλιρροίαις,αις,π,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obj,0.0,χρωμένων,(),False,xxxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,
χρωμένων,χρωμένων,χρωμένων,χρωμένων,νων,χ,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,ἐξαναχωρούντων,"(ἐξαναχωρούντων,)",False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,Pres,Part,Mid
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐργάζονται,(),False,·,False,True,False,False,,,,,,,,
εὐρεῖς,εὐρεῖς,εὐρεῖς,εὐρεῖς,ῖς,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,εὐρεῖς,"(πελάγη,)",False,xx̓xxx͂x,False,False,False,False,Nom,Masc,Sing,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,εὐρεῖς,(),False,xx̀x,False,False,False,False,,,,,,,,
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,εὐρεῖς,(),False,x̓́xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act
ὅτε,ὅτε,ὅτε,ὅτε,́τε,ο,-20.0,ADV,d--------,,mark,0.0,εἰσι,(),False,x̔́xx,False,False,False,False,,,,,,,,
κόλποι,κόλποι,κόλπος,κόλποι,ποι,κ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,εἰσι,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,
θαλάττης,θαλάττης,θαλάττα,θαλάττης,της,θ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nsubj,0.0,ὑποσυρείσης,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,
ὑποσυρείσης,ὑποσυρείσης,ὑποσυρείσης,ὑποσυρείσης,σης,υ,-20.0,VERB,v-sappfg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,εἰσι,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,Past,Part,Pass
ἀμπώτεσι,ἀμπώτεσι,ἀμπώτεσι,ἀμπώτεσι,εσι,α,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,ὑποσυρείσης,(),False,x̓xxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,
βαθὺς,βαθὺς,βαθὺς,βαθὺς,ὺς,β,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,αἰγιαλός,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,
ἐξαίφνης,ἐξαίφνης,ἐξαίφνης,ἐξαίφνης,νης,ε,-20.0,ADV,d--------,,advmod,0.0,αἰγιαλός,(),False,x̓xxx́xxxx,False,False,False,False,,,,,,,,
αἰγιαλός,αἰγιαλός,αἰγιαλός,αἰγιαλός,ός,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὑποσυρείσης,(),False,xx̓xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,
εἰσι,εἰσι,εἰμι,εἰσι,̓σι,ε,-20.0,AUX,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,εὐρεῖς,(),False,xx̓xx,False,False,False,False,,,Plur,Ind,3,Pres,Fin,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,εὐρεῖς,(),False,xxx̀,False,False,False,False,,,,,,,,
