orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
παντοῖα,παντοῖα,παντοῖος,παντοῖα,ῖα,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,κελεύει,(),False,xxxx͂x,False,False,False,False,Acc,Neut,Plur,,,,,
οὗν,οὗν,οὗν,οὗν,̔͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,κελεύει,(),False,xx̔͂x,False,False,False,False,,,,,,,,
ἰχθύων,ἰχθύων,ἰχθύς,ἰχθύων,́ων,ι,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γένη,"(κητῶν,)",False,x̓xxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,
γένη,γένη,γένος,γένη,́νη,γ,-20.0,NOUN,n-p---na-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,συνίστασθαι,(),False,xx́xx,False,False,False,False,Nom,Neut,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γένη,(),False,xxx̀,False,False,False,False,,,,,,,,
κητῶν,κητῶν,κητῶν,κητῶν,ῶν,κ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,ἰχθύων,"(ἰχθύων,)",False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,
κελεύει,κελεύει,κελεύω,κελεύει,́ει,κ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,κελεύει,(),False,xxxx́xx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act
συνίστασθαι,συνίστασθαι,συνίστημι,συνίστασθαι,θαι,σ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,ccomp,0.0,κελεύει,(),False,xxxx́xxxx,False,False,False,False,,,,,,Pres,Inf,Mid
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,τόπους,(),False,xxxx̀,False,False,False,False,,,,,,,,
τόπους,τόπους,τόπος,τόπους,ους,τ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obl,0.0,διαφέροντα,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,
διαφέροντα,διαφέροντα,διαφέροντος,διαφέροντα,ντα,δ,-20.0,VERB,v-pppana-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,συνίστασθαι,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,Pres,Part,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,μεγέθεσι,(),False,xxx̀,False,False,False,False,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,μεγέθεσι,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,
μεγέθεσι,μεγέθεσι,μεγέθεσι,μεγέθεσι,εσι,μ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,διαφέροντα,"(ποιότησιν,)",False,xxxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μεγέθεσι,(),False,xxx̀,False,False,False,False,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ποιότησιν,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,
ποιότησιν,ποιότησιν,ποιότης,ποιότησιν,σιν,π,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,μεγέθεσι,"(μεγέθεσι,)",False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,κελεύει,(),False,·,False,True,False,False,,,,,,,,
ἄλλα,ἄλλα,ἄλλα,ἄλλα,λλα,α,-20.0,ADV,d--------,,ROOT,0.0,ἄλλα,(),False,x̓́xxx,False,False,False,False,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἄλλα,(),False,xx̀x,False,False,False,False,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,πελάγεσιν,(),False,x̓x,False,False,False,False,,,,,,,,
ἄλλοις,ἄλλοις,ἄλλος,ἄλλοις,οις,α,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,πελάγεσιν,(),False,x̓́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,
πελάγεσιν,πελάγεσιν,πελάγος,πελάγεσιν,σιν,π,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,ἄλλα,(),False,xxxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔστι,(),False,",",False,True,False,False,,,,,,,,
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,αὐτά,(),False,x̓́xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,αὐτά,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,αὐτά,(),False,’,False,True,False,False,,,,,,,,
ὅτε,ὅτε,ὅτε,ὅτε,́τε,ο,-20.0,ADV,d--------,,advmod,0.0,αὐτά,(),False,x̔́xx,False,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,αὐτά,(),False,xxx̀,False,False,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,αὐτά,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,
