orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
ἐπεὶ,ἐπεὶ,ἐπεὶ,ἐπεὶ,εὶ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἔχει,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,συνέβαινε,(),False,xx̀,False,False,False,False,,,,,,,,,,
πᾶσα,πᾶσα,πᾶς,πᾶσα,͂σα,π,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,πόλις,(),False,xx͂xx,False,False,False,False,Nom,Fem,Sing,,,,,,,
πόλις,πόλις,πόλις,πόλις,λις,π,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἔχει,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
εὔνομος,εὔνομος,εὔνομος,εὔνομος,μος,ε,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,πόλις,(),False,xx̓́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,συνέβαινε,(),False,x̓́xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
πολιτείαν,πολιτείαν,πολιτεία,πολιτείαν,́αν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔχει,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,",",False,True,False,False,,,,,,,,,,
ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,́ως,α,-20.0,ADV,d--------,,advmod,0.0,συνέβαινε,(),False,x̓xxxx́xx,False,False,False,False,,,,,,,,,,
συνέβαινε,συνέβαινε,συνέβαινε,συνέβαινε,ινε,σ,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,συνέβαινε,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp,
