orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Aspect,Mood,Person,Tense,VerbForm,Voice
ἐπεὶ,ἐπεὶ,ἐπεὶ,ἐπεὶ,εὶ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἤρτηται,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,Df,,advmod,0.0,κατέβη,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,Df,,mark,0.0,ἤρτηται,(),False,’,False,True,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,οὐρανίων,(),False,x̓x,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,οὐρανίων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
οὐρανίων,οὐρανίων,οὐρανίων,οὐρανίων,́ων,ο,-20.0,ADJ,a-p---ng-,Case=Gen|Degree=Pos|Gender=Neut|Number=Plur,obl,0.0,ἤρτηται,(),False,xx̓xxxx́xx,False,False,False,False,Gen,Neut,Plur,Pos,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ἐπίγεια,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ἐπίγεια,ἐπίγεια,ἐπίγειος,ἐπίγεια,εια,ε,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἤρτηται,(),False,x̓xx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
ἤρτηται,ἤρτηται,ἤρτηται,ἤρτηται,ται,η,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,advcl,0.0,κατέβη,(),False,x̓́xxxx,False,False,False,False,,,Sing,,Perf,Ind,3,Past,Fin,Mid
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,συμπάθειαν,(),False,xxxx́,False,False,False,False,,,,,,,,,,
