orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Degree,Mood,Person
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,τέλος,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
εὐκταῖον,εὐκταῖον,εὐκταῖος,εὐκταῖον,͂ον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,τέλος,(),False,xx̓xxxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
τέλος,τέλος,τέλος,τέλος,λος,τ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,ROOT,0.0,τέλος,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συνεστηκότων,(),False,",",False,True,False,False,,,,,,,,,,
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,συνεστηκότων,(),False,x̓́xx,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,μελῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ὀργανικῶν,ὀργανικῶν,ὀργανικῶν,ὀργανικῶν,ῶν,ο,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,μελῶν,(),False,x̓xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
μελῶν,μελῶν,μελῶν,μελῶν,ῶν,μ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nsubj,0.0,συνεστηκότων,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
συνεστηκότων,συνεστηκότων,συνεστηκότων,συνεστηκότων,των,σ,-20.0,VERB,v-prpang-,Aspect=Perf|Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,τέλος,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,Perf,Past,Part,Act,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,τέλος,(),False,·,False,True,False,False,,,,,,,,,,
φιλεῖ,φιλεῖ,φιλεῖ,φιλεῖ,εῖ,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φιλεῖ,(),False,xxxx͂,False,False,False,False,,,Sing,,Pres,Fin,Act,,Ind,3
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,φιλεῖ,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,γῆρας,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
μακρὸν,μακρὸν,μακρὸν,μακρὸν,ὸν,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,γῆρας,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,
