orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect
τεκμηριώσαιτο,τεκμηριώσαιτο,τεκμηριώσαιτο,τεκμηριώσαιτο,ιτο,τ,-20.0,VERB,v3saom---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,τεκμηριώσαιτο,(),False,xxxx́xxxx,False,False,False,False,Opt,Sing,3,Past,Fin,Mid,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,discourse,0.0,τεκμηριώσαιτο,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,τεκμηριώσαιτο,(),False,’,False,True,False,False,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,τεκμηριώσαιτο,(),False,x̓́x,False,False,False,False,,,,,,,,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,τεκμηριώσαιτο,(),True,xxx,True,False,False,False,,Sing,,,,,Nom,Masc,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,εὐμορφίαν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,εὐμορφίαν,(),False,xx̀x,False,False,False,False,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,σώματος,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Neut,
σώματος,σώματος,σώματος,σώματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,εὐμορφίαν,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Gen,Neut,
εὐμορφίαν,εὐμορφίαν,εὐμορφία,εὐμορφίαν,́αν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,τεκμηριώσαιτο,(),False,xx̓xxxx́xx,False,False,False,False,,Sing,,,,,Acc,Fem,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,τριῶν,(),False,x̓x,False,False,False,False,,,,,,,,,
τριῶν,τριῶν,τριῶν,τριῶν,ῶν,τ,-20.0,NUM,m--------,,obl,0.0,τεκμηριώσαιτο,(),False,xxxx͂x,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὧν,(),False,",",False,True,False,False,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---ng-,Case=Gen|Gender=Neut|Number=Plur,appos,0.0,τριῶν,(),False,x̔͂x,False,False,False,False,,Plur,,,,,Gen,Neut,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ὧν,(),False,x̓xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ὧν,(),False,xxx͂xxx,False,False,False,False,,Sing,,,,,Nom,Neut,
τόδε,τόδε,τόδε,τόδε,́δε,τ,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ὧν,(),False,xx́xx,False,False,False,False,,Sing,,,,,Nom,Neut,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,τεκμηριώσαιτο,(),False,·,False,True,False,False,,,,,,,,,
ἄρτι,ἄρτι,ἄρτι,ἄρτι,ρτι,α,-20.0,ADV,d--------,,advmod,0.0,συνέβαινε,(),False,x̓́xxx,False,False,False,False,,,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,γῆς,(),False,xx͂x,False,False,False,False,,Sing,,,,,Gen,Fem,
