orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person,Degree
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,πέφυκεν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,βρέφη,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
κτὰ,κτὰ,κτὰ,κτὰ,τὰ,κ,-20.0,ADP,r--------,,nmod,0.0,βρέφη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γαστρὸς,γαστρὸς,γαστρὸς,γαστρὸς,ὸς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,κτὰ,(),False,xxxx̀x,False,False,False,False,Gen,Fem,Sing,,,,,,,
βρέφη,βρέφη,βρέφος,βρέφη,́φη,β,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,πέφυκεν,(),False,xxx́xx,False,False,False,False,Nom,Neut,Plur,,,,,,,
μησὶν,μησὶν,μησὶν,μησὶν,ὶν,μ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,τελειογονεῖσθαι,(),False,xxxx̀x,False,False,False,False,Dat,Fem,Plur,,,,,,,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,nmod,0.0,μησὶν,(),False,x̔xxx̀,False,False,False,False,,,,,,,,,,
τελειογονεῖσθαι,τελειογονεῖσθαι,τελειογονεῖσθαι,τελειογονεῖσθαι,θαι,τ,-20.0,VERB,V-,Tense=Fut|VerbForm=Inf|Voice=Mid,xcomp,0.0,πέφυκεν,(),False,xxxx͂xxxx,False,False,False,False,,,,Fut,Inf,Mid,,,,
πέφυκεν,πέφυκεν,πέφυκα,πέφυκεν,κεν,π,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,πέφυκεν,(),False,xx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Perf,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συμβαίνειν,(),False,",",False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,mark,0.0,συμβαίνειν,(),False,x̔x,False,False,False,False,,,,,,,,,,
παραδοξότατόν,παραδοξότατόν,παραδοξότατόν,παραδοξότατόν,όν,π,-20.0,ADJ,a-s---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Sing,nmod,0.0,τι,(),False,xxxx́xxxx́x,False,False,False,False,Acc,Neut,Sing,,,,,,,Sup
τι,τι,τις,τι,τι,τ,-20.0,PRON,p-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,συμβαίνειν,(),True,xx,True,False,False,False,Acc,Neut,Sing,,,,,,,
συμβαίνειν,συμβαίνειν,συμβαίνω,συμβαίνειν,ειν,σ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,πέφυκεν,(),False,xxxx́xxxx,False,False,False,False,,,,Pres,Inf,Act,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,πέφυκεν,(),False,·,False,True,False,False,,,,,,,,,,
γίνεται,γίνεται,γίγνομαι,γίνεται,ται,γ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,γίνεται,(),False,xx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,γίνεται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ἑπτάμηνα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ἑπτάμηνα,ἑπτάμηνα,ἑπτάμηνος,ἑπτάμηνα,ηνα,ε,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,γίνεται,(),False,x̔xxx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
γόνιμα,γόνιμα,γόνιμος,γόνιμα,ιμα,γ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,xcomp,0.0,γίνεται,(),False,xx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δυναμένων,(),False,",",False,True,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ὀκτωμηνιαίων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ὀκτωμηνιαίων,ὀκτωμηνιαίων,ὀκτωμηνιαίων,ὀκτωμηνιαίων,́ων,ο,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nsubj,0.0,δυναμένων,(),False,x̓xxxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,,
