orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,τούτοις,(),False,xxx̀x,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,οὐδὲ᾽,(),False,xx̀,False,False,False,False,,,,,,,,,
τούτοις,τούτοις,τούτοις,τούτοις,οις,τ,-20.0,PRON,p-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,οὐδὲ᾽,(),False,xxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,
οὐδὲ᾽,οὐδὲ᾽,οὐδὲ᾽,οὐδὲ᾽,ὲ᾽,ο,-20.0,PUNCT,V-,,obl,0.0,ἀγνοητέον,(),False,xx̓xx̀᾽,False,False,False,False,,,,,,,,,
ἐκεῖνο,ἐκεῖνο,ἐκεῖνος,ἐκεῖνο,͂νο,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἀγνοητέον,(),False,x̓xxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,
ἀγνοητέον,ἀγνοητέον,ἀγνοητέον,ἀγνοητέον,́ον,α,-20.0,VERB,v2ppma---,Mood=Imp|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀγνοητέον,"(ἐπιδεικνύμενος,)",False,x̓xxxx́xx,False,False,False,False,,,Plur,Imp,2,Pres,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἴσος,(),False,",",False,True,False,False,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,ἴσος,(),False,x̔́xx,False,False,False,False,,,,,,,,,
πρῶτος,πρῶτος,πρῶτος,πρῶτος,τος,π,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἀριθμῶν,(),False,xxx͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ῶν,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,τετράγωνός,(),False,x̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,τέτταρα,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
τέτταρα,τέτταρα,τέτταρα,τέτταρα,αρα,τ,-20.0,ADJ,a--------,,nmod,0.0,τετράγωνός,(),False,xx́xxxx,False,False,False,False,,,,,,,,,
τετράγωνός,τετράγωνός,τετράγωνός,τετράγωνός,ός,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἴσος,(),False,xxxx́xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἴσος,(),False,x̓xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,
ἰσάκις,ἰσάκις,ἰσάκις,ἰσάκις,κις,ι,-20.0,ADV,d--------,,advmod,0.0,ἴσος,(),False,x̓xx́xxx,False,False,False,False,,,,,,,,,
ἴσος,ἴσος,ἴσος,ἴσος,σος,ι,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,amod,0.0,ὃ,"(πέφυκε,)",False,x̓́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μέτρον,(),False,",",False,True,False,False,,,,,,,,,
μέτρον,μέτρον,μέτρον,μέτρον,ρον,μ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,appos,0.0,ἴσος,(),False,xx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
δικαιοσύνης,δικαιοσύνης,δικαιοσύνη,δικαιοσύνης,νης,δ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,μέτρον,"(ἰσότητος,)",False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
