orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,γενέσει,(),False,x̓x,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀνεδίδου,(),False,xx̀,False,False,False,False,,,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,γενέσει,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
πρώτη,πρώτη,πρώτη,πρώτη,́τη,π,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,γενέσει,(),False,xxx́xx,False,False,False,False,Dat,Fem,Sing,,,,,,,
γενέσει,γενέσει,γενέσει,γενέσει,σει,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἀνεδίδου,(),False,xxxx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ὅλων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ὅλων,ὅλων,ὅλος,ὅλων,λων,ο,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,γενέσει,(),False,x̔́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γενέσει,(),False,",",False,True,False,False,,,,,,,,,,
καθάπερ,καθάπερ,καθά,καθάπερ,περ,κ,-20.0,SCONJ,c--------,,mark,0.0,ἔφην,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
ἔφην,ἔφην,ἔφην,ἔφην,φην,ε,-20.0,VERB,v1siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἀνεδίδου,(),False,x̓́xxx,False,False,False,False,,,Sing,Imp,Ind,1,Past,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔφην,(),False,",",False,True,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀνεδίδου,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἅπασαν,ἅπασαν,ἅπας,ἅπασαν,σαν,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ὕλην,(),False,x̔́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ὕλην,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,φυτῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
φυτῶν,φυτῶν,φυτῶν,φυτῶν,ῶν,φ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ὕλην,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ὕλην,ὕλην,ὕλη,ὕλην,λην,υ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀνεδίδου,(),False,x̔́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,γῆς,(),False,x̓x,False,False,False,False,,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἀνεδίδου,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀνεδίδου,ἀνεδίδου,ἀνεδίδου,ἀνεδίδου,δου,α,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀνεδίδου,(),False,x̓xxxx́xxx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act,
τελείαν,τελείαν,τελείαν,τελείαν,́αν,τ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,ὕλην,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καρποὺς,καρποὺς,καρποὺς,καρποὺς,ὺς,κ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἔχουσαν,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
ἔχουσαν,ἔχουσαν,ἔχω,ἔχουσαν,σαν,ε,-20.0,VERB,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,τελείαν,(),False,x̓́xxxx,False,False,False,False,Acc,Fem,Sing,,,,Pres,Part,Act,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἀτελεῖς,(),False,xx̓,False,False,False,False,,,,,,,,,,
ἀτελεῖς,ἀτελεῖς,ἀτελεῖς,ἀτελεῖς,ῖς,α,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,xcomp,0.0,ἀλλὰ᾽,(),False,x̓xxxx͂x,False,False,False,False,Acc,Masc,Plur,,,,,,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,VERB,v-pppama-,Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,ἔχουσαν,(),False,x̓xxx̀᾽,False,False,False,False,Acc,Masc,Plur,,,,Pres,Part,Act,
ἀκμάζοντας,ἀκμάζοντας,ἀκμάζω,ἀκμάζοντας,τας,α,-20.0,VERB,v-pppama-,Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,καρποὺς,(),False,x̓xxx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,Pres,Part,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,χρῆσιν,(),False,",",False,True,False,False,,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,χρῆσιν,(),False,xx̓x,False,False,False,False,,,,,,,,,,
ἑτοιμοτάτην,ἑτοιμοτάτην,ἑτοιμοτάτην,ἑτοιμοτάτην,την,ε,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,amod,0.0,χρῆσιν,"(ἀνυπέρθετον,)",False,x̔xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,Sup
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἑτοιμοτάτην,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀνυπέρθετον,ἀνυπέρθετον,ἀνυπέρθετος,ἀνυπέρθετον,τον,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἑτοιμοτάτην,"(ἑτοιμοτάτην,)",False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
χρῆσιν,χρῆσιν,χρῆσις,χρῆσιν,σιν,χ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀνεδίδου,"(ἀπόλαυσιν,)",False,xxx͂xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χρῆσιν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀπόλαυσιν,ἀπόλαυσιν,ἀπόλαυσις,ἀπόλαυσιν,σιν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,χρῆσιν,"(χρῆσιν,)",False,x̓xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ζῴων,ζῴων,ζῴον,ζῴων,ͅων,ζ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,χρῆσιν,(),False,xx́ͅxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,γενησομένων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
αὐτίκα,αὐτίκα,αὐτίκα,αὐτίκα,́κα,α,-20.0,ADV,d--------,,advmod,0.0,γενησομένων,(),False,xx̓xx́xx,False,False,False,False,,,,,,,,,,
γενησομένων,γενησομένων,γενησομένων,γενησομένων,νων,γ,-20.0,VERB,v-pppeng-,Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,ζῴων,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,Past,Part,Pass,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀνεδίδου,(),False,.,False,True,False,False,,,,,,,,,,
