orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice
τί,τί,τίς,τί,τί,τ,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,φιλέβδομον,(),False,xx́,False,False,False,False,Nom,Neut,Sing,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,τί,(),False,xx̀x,False,False,False,False,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,φιλέβδομον,(),False,xx̓,False,False,False,False,,,,,,,,
φιλέβδομον,φιλέβδομον,φιλέβδομος,φιλέβδομον,μον,φ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,φιλέβδομον,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,μέρος,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,κόσμῳ,(),False,x̓x,False,False,False,False,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,κόσμῳ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,
κόσμῳ,κόσμῳ,κόσμῳ,κόσμῳ,μῳ,κ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,τῶν,(),False,xx́xxxͅ,False,False,False,False,Dat,Masc,Sing,,,,,
μέρος,μέρος,μέρος,μέρος,ρος,μ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,φιλέβδομον,(),False,xx́xxx,False,False,False,False,Nom,Neut,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔρωτι,(),False,",",False,True,False,False,,,,,,,,
ἔρωτι,ἔρωτι,ἔρως,ἔρωτι,ωτι,ε,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,δαμασθὲν,"(πόθῳ,)",False,x̓́xxxx,False,False,False,False,Dat,Masc,Sing,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἔρωτι,(),False,xxx̀,False,False,False,False,,,,,,,,
πόθῳ,πόθῳ,πόθῳ,πόθῳ,θῳ,π,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,conj,0.0,ἔρωτι,"(ἔρωτι,)",False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,
δαμασθὲν,δαμασθὲν,δαμασθὲν,δαμασθὲν,ὲν,δ,-20.0,VERB,v3paip---,Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,advcl,0.0,φιλέβδομον,(),False,xxxx̀x,False,False,False,False,,,Plur,Ind,3,Past,Fin,Pass
ἑβδομάδος,ἑβδομάδος,ἑβδομάς,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,δαμασθὲν,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,
;,;,;,;,;,;,-20.0,PUNCT,u--------,,punct,0.0,φιλέβδομον,(),False,;,False,True,False,False,,,,,,,,
