orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Degree
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,φαυλοτάτου,(),False,x̓x,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἥδε᾽,(),False,xx̀,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,γινομένοις,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μέρος,(),False,xxxx̀,False,False,False,False,,,,,,,,,
μέρος,μέρος,μέρος,μέρος,ρος,μ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,γινομένοις,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
γινομένοις,γινομένοις,γινομένοις,γινομένοις,οις,γ,-20.0,VERB,v-pppend-,Case=Dat|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,τάξις,(),False,xxxx́xxxx,False,False,False,False,Dat,Neut,Plur,Pres,Part,Mid,,,
τάξις,τάξις,τάξις,τάξις,ξις,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἥδε᾽,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,
ἥδε᾽,ἥδε᾽,ἥδε᾽,ἥδε᾽,δε᾽,η,-20.0,PUNCT,V-,,ROOT,0.0,ἥδε᾽,(),False,x̔́xx᾽,False,False,False,False,,,,,,,,,
ἐστί,ἐστί,ἐστίς,ἐστί,τί,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἥδε᾽,(),False,x̓xxx́,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄρχεσθαι,(),False,",",False,True,False,False,,,,,,,,,
ἄρχεσθαι,ἄρχεσθαι,ἄρχω,ἄρχεσθαι,θαι,α,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,appos,0.0,ἐστί,"(λήγειν,)",False,x̓́xxxx,False,False,False,False,,,,Pres,Inf,Mid,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἄρχεσθαι,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,φαυλοτάτου,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
