orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect,Degree
ὅδει,ὅδει,ὅδει,ὅδει,δει,ο,-20.0,VERB,v3slia---,Mood=Ind|Number=Sing|Person=3|Tense=Pqp|VerbForm=Fin|Voice=Act,ROOT,0.0,ὅδει,(),False,x̔́xxx,False,False,False,False,Ind,Sing,3,Pqp,Fin,Act,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,γεγονότων,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Gen,Neut,,
γεγονότων,γεγονότων,γεγονότων,γεγονότων,των,γ,-20.0,VERB,v-prpeng-,Aspect=Perf|Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,φῦναι,(),False,xxxx́xxx,False,False,False,False,,Plur,,Past,Part,Mid,Gen,Neut,Perf,
ὕστατον,ὕστατον,ὕστερος,ὕστατον,τον,υ,-20.0,ADJ,a-s---mas,Case=Acc|Degree=Sup|Gender=Masc|Number=Sing,xcomp,0.0,ἄνθρωπον,(),False,x̔́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,,Sup
φῦναι,φῦναι,φῦναι,φῦναι,ναι,φ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,ccomp,0.0,ὅδει,(),False,xx͂xxx,False,False,False,False,,,,Past,Inf,Act,,,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,φῦναι,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐμποιήσῃ,(),False,",",False,True,False,False,,,,,,,,,,
ἵνα,ἵνα,ἵνα,ἵνα,́να,ι,-20.0,SCONJ,c--------,,mark,0.0,ἐμποιήσῃ,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
τελευταῖος,τελευταῖος,τελευταῖος,τελευταῖος,͂ος,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,ἐπιφανεὶς,(),False,xxxx͂xx,False,False,False,False,,Sing,,,,,Nom,Masc,,
ἐξαπιναίως,ἐξαπιναίως,ἐξαπιναίως,ἐξαπιναίως,́ως,ε,-20.0,ADV,d--------,,advmod,0.0,ἐπιφανεὶς,(),False,x̓xxxx́xx,False,False,False,False,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,ζῴοις,(),False,xxx͂x,False,False,False,False,,Plur,,,,,Dat,Neut,,
ἄλλοις,ἄλλοις,ἄλλος,ἄλλοις,οις,α,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,ζῴοις,(),False,x̓́xxxx,False,False,False,False,,Plur,,,,,Dat,Neut,,
ζῴοις,ζῴοις,ζῴον,ζῴοις,οις,ζ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obj,0.0,ἐπιφανεὶς,(),False,xx́ͅxxx,False,False,False,False,,Plur,,,,,Dat,Neut,,
ἐπιφανεὶς,ἐπιφανεὶς,ἐπιφανεὶω,ἐπιφανεὶς,ὶς,ε,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐμποιήσῃ,(),False,x̓xxxx̀x,False,False,False,False,,Sing,,Past,Part,Act,Nom,Masc,,
ἐμποιήσῃ,ἐμποιήσῃ,ἐμποιήσῃ,ἐμποιήσῃ,σῃ,ε,-20.0,VERB,v3sasa---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ὅδει,(),False,x̓xxxx́xxͅ,False,False,False,False,Sub,Sing,3,Past,Fin,Act,,,,
κατάπληξιν,κατάπληξιν,κατάπληξις,κατάπληξιν,ξιν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐμποιήσῃ,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ὅδει,(),False,·,False,True,False,False,,,,,,,,,,
ἔμελλε,ἔμελλε,ἔμελλε,ἔμελλε,λλε,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔμελλε,(),False,x̓́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Act,,,Imp,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἔμελλε,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἰδόντα,ἰδόντα,ἰδόντα,ἰδόντα,ντα,ι,-20.0,VERB,v-sapama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,τεθηπέναι,(),False,x̓xx́xxx,False,False,False,False,,Sing,,Past,Part,Act,Acc,Masc,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---mas,Case=Acc|Degree=Sup|Gender=Masc|Number=Sing,xcomp,0.0,τεθηπέναι,(),False,xxx͂xxx,False,False,False,False,,Sing,,,,,Acc,Masc,,Sup
τεθηπέναι,τεθηπέναι,τεθηπέναι,τεθηπέναι,ναι,τ,-20.0,VERB,v--rna---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,ἔμελλε,"(προσκυνεῖν,)",False,xxxx́xxx,False,False,False,False,,,,Past,Inf,Act,,,Perf,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τεθηπέναι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
προσκυνεῖν,προσκυνεῖν,προσκυνεῖν,προσκυνεῖν,ῖν,π,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,conj,0.0,τεθηπέναι,"(τεθηπέναι,)",False,xxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,·,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,ἡγεμόνα,(),False,x̓́x,False,False,False,False,,,,,,,,,,
ἡγεμόνα,ἡγεμόνα,ἡγεμόνα,ἡγεμόνα,́να,η,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,fixed,0.0,ὡς,"(δεσπότην,)",False,x̔xxxx́xx,False,False,False,False,,Sing,,,,,Acc,Masc,,
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,ἡγεμόνα,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Dat,Fem,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἡγεμόνα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
δεσπότην,δεσπότην,δεσπότης,δεσπότην,την,δ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἡγεμόνα,"(ἡγεμόνα,)",False,xxxx́xxx,False,False,False,False,,Sing,,,,,Acc,Masc,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἔμελλε,(),False,·,False,True,False,False,,,,,,,,,,
διὸ,διὸ,διὸ,διὸ,ιὸ,δ,-20.0,ADV,d--------,,advmod,0.0,ἡμερώθη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
