orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,Mood,Person,Tense,VerbForm,Voice
ἐναργεστάτην,ἐναργεστάτην,ἐναργεστάτην,ἐναργεστάτην,την,ε,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,πίστιν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Sup,Fem,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λάβοι,(),False,xx̀,False,False,False,False,,,,,,,,,
πίστιν,πίστιν,πίστις,πίστιν,τιν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,λάβοι,(),False,xx́xxxx,False,False,False,False,Acc,,Fem,Sing,,,,,
λάβοι,λάβοι,λααμβ́νω,λάβοι,βοι,λ,-20.0,VERB,v3saoa---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,λάβοι,(),False,xx́xxx,False,False,False,False,,,,Sing,Opt,3,Past,Fin,Act
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,λάβοι,(),True,xxx,True,False,False,False,Nom,,Masc,Sing,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,λάβοι,(),False,x̓́x,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἀριθμῶν,(),False,x̓x,False,False,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀριθμῶν,(),False,xx͂x,False,False,False,False,Gen,,Masc,Plur,,,,,
προκειμένων,προκειμένων,προκειμένων,προκειμένων,νων,π,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,ἀριθμῶν,(),False,xxxx́xxx,False,False,False,False,Gen,,Masc,Plur,,,Pres,Part,Mid
ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ῶν,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,λάβοι,(),False,x̓xxxx͂x,False,False,False,False,Gen,,Masc,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὀκτὼ,(),False,",",False,True,False,False,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,ἓκ,(),False,xxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,
ἓκ,ἓκ,ἓκ,ἓκ,̔̀κ,ε,-20.0,ADP,r--------,,case,0.0,ὀκτὼ,(),False,x̔̀x,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ὀκτὼ,(),False,xxx̀,False,False,False,False,,,,,,,,,
ὀκτὼ,ὀκτὼ,ὀκτὼς,ὀκτὼ,τὼ,ο,-20.0,NUM,a--------,,appos,0.0,πίστιν,"(δώδεκα,)",False,x̓xxx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὀκτὼ,(),False,xxx̀,False,False,False,False,,,,,,,,,
δώδεκα,δώδεκα,δώδεκα,δώδεκα,εκα,δ,-20.0,ADJ,n-s---na-,,conj,0.0,ὀκτὼ,"(ὀκτὼ,)",False,xx́xxxx,False,False,False,False,,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λάβοι,(),False,·,False,True,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,τελευταῖος,(),False,x̔,False,False,False,False,Nom,,Masc,Sing,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,διπλάσιος,(),False,xx̀x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,διπλάσιος,(),False,xx̀x,False,False,False,False,,,,,,,,,
τελευταῖος,τελευταῖος,τελευταῖος,τελευταῖος,͂ος,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,διπλάσιος,(),False,xxxx͂xx,False,False,False,False,Nom,,Masc,Sing,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πρώτου,(),False,xxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,
πρώτου,πρώτου,πρώτου,πρώτου,του,π,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,τελευταῖος,(),False,xxx́xxx,False,False,False,False,Gen,,Masc,Sing,,,,,
διπλάσιος,διπλάσιος,διπλάσιος,διπλάσιος,ιος,δ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,διπλάσιος,"(διπλασία,)",False,xxxx́xxxx,False,False,False,False,Nom,,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,τελευταῖος,(),False,x̔,False,False,False,False,Nom,,Fem,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,διπλάσιος,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,’,',’,’,-20.0,CCONJ,c--------,,cc,0.0,διπλάσιος,(),False,’,False,True,False,False,,,,,,,,,
ὑπεροχὴ,ὑπεροχὴ,ὑπεροχὴ,ὑπεροχὴ,χὴ,υ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,διπλασία,(),False,x̔xxxx̀,False,False,False,False,Nom,,Fem,Sing,,,,,
πάλιν,πάλιν,πάλιν,πάλιν,λιν,π,-20.0,ADV,d--------,,advmod,0.0,διπλασία,(),False,xx́xxx,False,False,False,False,,,,,,,,,
διπλασία,διπλασία,διπλασίος,διπλασία,ία,δ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,διπλάσιος,"(διπλάσιος,)",False,xxxx́x,False,False,False,False,Nom,,Fem,Sing,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,διπλάσιος,(),False,·,False,True,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,δώδεκα,(),False,xx̀,False,False,False,False,Nom,,Neut,Plur,,,,,
