orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Mood,Person
tὸν,tὸν,tὸς,tὸν,ὸν,t,-20.0,DET,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,dep,0.0,δὲ,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,εἰσόμεθα,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,fixed,0.0,δὲ,(),False,’,False,True,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἰδεῶν,(),False,x̓x,False,False,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,ἰδεῶν,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,
ἰδεῶν,ἰδεῶν,ἰδεῶν,ἰδεῶν,ῶν,ι,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,obl,0.0,συνεστῶτα,(),False,x̓xxx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,
συνεστῶτα,συνεστῶτα,συνεστῶτα,συνεστῶτα,͂τα,σ,-20.0,VERB,v-srpama-,Aspect=Perf|Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,nmod,0.0,κόσμον,(),False,xxxx͂xx,False,False,False,False,Acc,Masc,Sing,Perf,Past,Part,Act,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,fixed,0.0,’,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,τόπῳ,(),False,x̓x,False,False,False,False,,,,,,,,,
τόπῳ,τόπῳ,τόπῳ,τόπῳ,πῳ,τ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,λέγειν,(),False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
τινὶ,τινὶ,τινὶ,τινὶ,νὶ,τ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,τόπῳ,(),False,xxxx̀,False,False,False,False,Dat,Masc,Sing,,,,,,
λέγειν,λέγειν,λέγω,λέγειν,ειν,λ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,ccomp,0.0,θεμιτόν,"(ὑπονοεῖν,)",False,xx́xxxx,False,False,False,False,,,,,Pres,Inf,Act,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,λέγειν,(),False,x̓̀,False,False,False,False,,,,,,,,,
ὑπονοεῖν,ὑπονοεῖν,ὑπονοεῖν,ὑπονοεῖν,ῖν,υ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,conj,0.0,λέγειν,"(λέγειν,)",False,x̔xxxx͂x,False,False,False,False,,,,,Pres,Inf,Act,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,θεμιτόν,(),False,xx̓,False,False,False,False,,,,,,,,,
θεμιτόν,θεμιτόν,θεμιτός,θεμιτόν,όν,θ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,amod,0.0,κόσμον,(),False,xxxx́x,False,False,False,False,Nom,Neut,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,δὲ,(),False,·,False,True,False,False,,,,,,,,,
ᾗ,ᾗ,ᾗ,ᾗ,̔͂ͅ,η,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,dep,0.0,εἰσόμεθα,(),False,x̔͂ͅ,False,False,False,False,Nom,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,εἰσόμεθα,(),False,xx̀,False,False,False,False,,,,,,,,,
συνέστηκε,συνέστηκε,συνέστηκε,συνέστηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,fixed,0.0,δὲ,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Perf,Past,Fin,Act,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συνέστηκε,(),False,",",False,True,False,False,,,,,,,,,
εἰσόμεθα,εἰσόμεθα,εἰσόμεθα,εἰσόμεθα,εθα,ε,-20.0,VERB,v1pfim---,Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Mid,ROOT,0.0,εἰσόμεθα,(),False,xx̓xx́xxxx,False,False,False,False,,,Plur,,Fut,Fin,Mid,Ind,1
παρακολουθήσαντες,παρακολουθήσαντες,παρακολουθήθω,παρακολουθήσαντες,τες,π,-20.0,VERB,v-papamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,εἰσόμεθα,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,Past,Part,Act,,
εἰκόνι,εἰκόνι,εἰκόνι,εἰκόνι,́νι,ε,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obj,0.0,παρακολουθήσαντες,(),False,xx̓xx́xx,False,False,False,False,Dat,Masc,Sing,,,,,,
