orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice
τοιοῦτος,τοιοῦτος,τοιοῦτος,τοιοῦτος,τος,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,τοιοῦτος,(),False,xxxx͂xxx,False,False,False,False,Nom,Masc,Sing,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,τοιοῦτος,(),False,xx̀x,False,False,False,False,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,βίος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,
βίος,βίος,βίος,βίος,́ος,β,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,τοιοῦτος,(),False,xx́xx,False,False,False,False,Nom,Masc,Sing,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,χρωμένων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀρχῇ,(),False,x̓x,False,False,False,False,,,,,,
ἀρχῇ,ἀρχῇ,ἀρχῇ,ἀρχῇ,ῇ,α,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,χρωμένων,(),False,x̓xxx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,χρωμένων,(),False,xx̀x,False,False,False,False,,,,,,
ἀκακίᾳ,ἀκακίᾳ,ἀκακίᾳ,ἀκακίᾳ,́ᾳ,α,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,χρωμένων,"(ἁπλότητι,)",False,x̓xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀκακίᾳ,(),False,xxx̀,False,False,False,False,,,,,,
ἁπλότητι,ἁπλότητι,ἁπλότης,ἁπλότητι,ητι,α,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,conj,0.0,ἀκακίᾳ,"(ἀκακίᾳ,)",False,x̔xxx́xxxx,False,False,False,False,Dat,Fem,Sing,,,
χρωμένων,χρωμένων,χρωμένων,χρωμένων,νων,χ,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,τοιοῦτος,"(προτιμώντων,)",False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,Pres,Part,Mid
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,αὖθις,(),False,",",False,True,False,False,,,,,,
αὖθις,αὖθις,αὖθις,αὖθις,θις,α,-20.0,ADV,d--------,,advmod,0.0,προτιμώντων,(),False,xx̓͂xxx,False,False,False,False,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,χρωμένων,(),False,xx̀,False,False,False,False,,,,,,
κακίαν,κακίαν,κακία,κακίαν,́αν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,προτιμώντων,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,
ἀντὶ᾽,ἀντὶ᾽,ἀντὶ᾽,ἀντὶ᾽,ὶ᾽,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,προτιμώντων,(),False,x̓xxx̀᾽,False,False,False,False,Acc,Fem,Sing,,,
ἀρετῆς,ἀρετῆς,ἀρετῆς,ἀρετῆς,ῆς,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,προτιμώντων,(),False,x̓xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,
προτιμώντων,προτιμώντων,προτιμώντων,προτιμώντων,των,π,-20.0,VERB,v-pppamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,χρωμένων,"(χρωμένων,)",False,xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,Pres,Part,Act
[,[,[,[,[,[,-20.0,PUNCT,u--------,,advmod,0.0,προτιμώντων,(),False,[,False,True,False,False,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obj,0.0,ἀπέχεσθαι].,(),False,x̔͂x,False,False,False,False,Gen,Masc,Plur,,,
ἀπέχεσθαι].,ἀπέχεσθαι].,ἀπέχεσθαι].,ἀπέχεσθαι].,ι].,α,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,advcl,0.0,τοιοῦτος,(),False,x̓xx́xxxx].,False,False,False,False,,,,Pres,Inf,Mid
