orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Mood,Person,Tense,VerbForm,Voice,Aspect
τάξει,τάξει,τάξος,τάξει,ξει,τ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,οἰκεῖον,(),False,xx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τάξει,(),False,xx̀,False,False,False,False,,,,,,,,,,
ἀριθμὸς,ἀριθμὸς,ἀριθμὸς,ἀριθμὸς,ὸς,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,τάξει,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
οἰκεῖον,οἰκεῖον,οἰκεῖος,οἰκεῖον,͂ον,ο,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,οἰκεῖον,"(γεννητικώτατος,)",False,xx̓xxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀριθμῶν,(),False,",",False,True,False,False,,,,,,,,,,
ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ῶν,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γεννητικώτατος,(),False,x̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,οἰκεῖον,(),False,xx̀,False,False,False,False,,,,,,,,,,
φύσεως,φύσεως,φύσεω,φύσεως,εως,φ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,νόμοις,(),False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
νόμοις,νόμοις,νόμος,νόμοις,οις,ν,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,γεννητικώτατος,(),False,xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,
γεννητικώτατος,γεννητικώτατος,γεννητικώς,γεννητικώτατος,τος,γ,-20.0,ADJ,a-s---mns,Case=Nom|Degree=Sup|Gender=Masc|Number=Sing,conj,0.0,οἰκεῖον,"(οἰκεῖον,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Sup,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,γεννητικώτατος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἕκ,ἕκ,ἕκ,ἕκ,̔́κ,ε,-20.0,ADP,r--------,,case,0.0,ὁ,(),False,x̔́x,False,False,False,False,,,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,οἰκεῖον,(),False,·,False,True,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,τριάδος,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,τέλειός,(),True,xx,True,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,τέλειός,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,μονάδος,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
μονάδος,μονάδος,μονάς,μονάδος,δος,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,τέλειός,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
πρῶτος,πρῶτος,πρῶτος,πρῶτος,τος,π,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,τέλειός,(),False,xxx͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
τέλειός,τέλειός,τέλειός,τέλειός,ός,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,τέλειός,"(πέφυκε, ἥρμοσται)",False,xx́xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,τέλειός,(),False,x̓xxx,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act,
ἰσούμενος,ἰσούμενος,ἰσούμενος,ἰσούμενος,νος,ι,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,τέλειός,"(συμπληρούμενος,)",False,x̓xxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,Pres,Part,Mid,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,μέρεσι,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,
ἑαυτοῦ,ἑαυτοῦ,ἑαυτοῦ,ἑαυτοῦ,οῦ,ε,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,μέρεσι,(),False,x̔xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
μέρεσι,μέρεσι,μέρος,μέρεσι,εσι,μ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obj,0.0,ἰσούμενος,(),False,xx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἰσούμενος,(),False,xxx̀,False,False,False,False,,,,,,,,,,
συμπληρούμενος,συμπληρούμενος,συμπληρούμενος,συμπληρούμενος,νος,σ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,ἰσούμενος,"(ἰσούμενος,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,Pres,Part,Mid,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,αὐτῶν,(),False,x̓x,False,False,False,False,,,,,,,,,,
αὐτῶν,αὐτῶν,αὐτῶν,αὐτῶν,ῶν,α,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,συμπληρούμενος,(),False,xx̓xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡμίσους,(),False,",",False,True,False,False,,,,,,,,,,
ἡμίσους,ἡμίσους,ἡμίσους,ἡμίσους,ους,η,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obl,0.0,τέλειός,"(τρίτου, δυάδος, ἕκτου, μονάδος)",False,x̔xx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἡμίσους,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τριάδος,τριάδος,τριάς,τριάδος,δος,τ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἡμίσους,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τρίτου,(),False,",",False,True,False,False,,,,,,,,,,
