orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,φιλόσοφοι,(),False,xx̔,False,False,False,False,Nom,Masc,Plur,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,φασι,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἄλλοι,ἄλλοι,ἄλλος,ἄλλοι,λοι,α,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nmod,0.0,φιλόσοφοι,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,
φιλόσοφοι,φιλόσοφοι,φιλόσοφος,φιλόσοφοι,φοι,φ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,φασι,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ὕδωρ,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
σύμπαν,σύμπαν,σύμπας,σύμπαν,παν,σ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,ὕδωρ,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ὕδωρ,ὕδωρ,ὕδωρ,ὕδωρ,δωρ,υ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nsubj,0.0,στοιχεῖον,(),False,x̔́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ἓν,ἓν,ἓν,ἓν,̔̀ν,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,στοιχεῖον,(),False,x̔̀x,False,False,False,False,Acc,Neut,Sing,,,,,,
στοιχεῖον,στοιχεῖον,στοιχεῖον,στοιχεῖον,͂ον,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,ccomp,0.0,φασι,(),False,xxxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,
εἶναί,εἶναί,εἶναί,εἶναί,αί,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,στοιχεῖον,(),False,xx̓͂xxx́,False,False,False,False,,,,Pres,Inf,Act,,,
φασι,φασι,φημί,φασι,ασι,φ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φασι,(),False,xxxx,True,False,False,False,,,Plur,Pres,Fin,Act,Ind,3,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,τεττάρων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
τεττάρων,τεττάρων,τεττάρων,τεττάρων,ρων,τ,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,dep,0.0,φασι,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐδημιουργήθη,(),False,",",False,True,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ὧν,(),False,x̓x,False,False,False,False,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,ἐδημιουργήθη,(),False,x̔͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,κόσμος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
κόσμος,κόσμος,κόσμος,κόσμος,μος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐδημιουργήθη,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
ἐδημιουργήθη,ἐδημιουργήθη,ἐδημιουργήθη,ἐδημιουργήθη,́θη,ε,-20.0,VERB,v3saip---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,acl,0.0,τεττάρων,(),False,x̓xxxx́xx,False,False,False,False,,,Sing,Past,Fin,Pass,Ind,3,Perf
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,φασι,(),False,.,False,True,False,False,,,,,,,,,
