orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,CCONJ,c--------,,dep,0.0,συγγένεια,(),False,x̔,False,False,False,False,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,PART,g--------,,advmod,0.0,συγγένεια,(),False,xx̀,False,False,False,False,,,
συγγένεια,συγγένεια,συγγένεια,συγγένεια,εια,σ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,συγγένεια,(),False,xxxx́xxxx,False,False,False,False,Nom,Fem,Sing
τίς,τίς,τίς,τίς,ίς,τ,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,συγγένεια,(),False,xx́x,False,False,False,False,Nom,Fem,Sing
;,;,;,;,;,;,-20.0,PUNCT,u--------,,punct,0.0,συγγένεια,(),False,;,False,True,False,False,,,
