orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person,Degree
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,κόσμον,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐδημιούργει,(),False,xx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἰδέαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,φωτὸς,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
νοητοῦ,νοητοῦ,νοητοῦ,νοητοῦ,οῦ,ν,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,φωτὸς,(),False,xxxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
φωτὸς,φωτὸς,φωτὸς,φωτὸς,ὸς,φ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἰδέαν,(),False,xxxx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,,
ἰδέαν,ἰδέαν,ἰδέα,ἰδέαν,́αν,ι,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀπιδών,(),False,x̓xx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐκείνην,ἐκείνην,ἐκείνην,ἐκείνην,νην,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἰδέαν,(),False,x̓xxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀπιδών,ἀπιδών,ἀπιδών,ἀπιδών,ών,α,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐδημιούργει,(),False,x̓xxxx́x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,λέλεκται,(),False,",",False,True,False,False,,,,,,,,,,
ἣ,ἣ,ἣ,ἣ,ἣ,η,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,λέλεκται,(),False,x̔̀,False,False,False,False,Nom,Fem,Sing,,,,,,,
λέλεκται,λέλεκται,λέλεκται,λέλεκται,ται,λ,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,acl,0.0,ἰδέαν,(),False,xx́xxxx,False,False,False,False,,,Sing,Past,Fin,Mid,Perf,Ind,3,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,κόσμον,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,κόσμον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀσώματον,ἀσώματον,ἀσώματος,ἀσώματον,τον,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,κόσμον,(),False,x̓xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,λέλεκται,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,λέλεκται,(),False,",",False,True,False,False,,,,,,,,,,
ἐδημιούργει,ἐδημιούργει,ἐδημιούργει,ἐδημιούργει,γει,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐδημιούργει,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,ἀστέρας,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
αἰσθητοὺς,αἰσθητοὺς,αἰσθητοὺς,αἰσθητοὺς,ὺς,α,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,nmod,0.0,ἀστέρας,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
ἀστέρας,ἀστέρας,ἀστέρας,ἀστέρας,ρας,α,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἐδημιούργει,(),False,x̓xxx́xxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀγάλματα,(),False,",",False,True,False,False,,,,,,,,,,
ἀγάλματα,ἀγάλματα,ἀγάλματα,ἀγάλματα,ατα,α,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,appos,0.0,ἀστέρας,(),False,x̓xx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
θεῖα,θεῖα,θεῖος,θεῖα,ῖα,θ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,amod,0.0,ἀγάλματα,"(περικαλλέστατα,)",False,xxx͂x,False,False,False,False,Acc,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,θεῖα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
περικαλλέστατα,περικαλλέστατα,περικαλλέσς,περικαλλέστατα,ατα,π,-20.0,ADJ,a-p---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Plur,conj,0.0,θεῖα,"(θεῖα,)",False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,,Sup
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἵδρυε,(),False,",",False,True,False,False,,,,,,,,,,
οὓς,οὓς,οὓς,οὓς,̔̀ς,ο,-20.0,PRON,p-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἵδρυε,(),False,xx̔̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
ὥσπερ,ὥσπερ,ὥσπερ,ὥσπερ,περ,ω,-20.0,ADV,d--------,,advmod,0.0,ἱερῷ,(),False,x̔́xxxx,False,False,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἱερῷ,(),False,x̓x,False,False,False,False,,,,,,,,,,
ἱερῷ,ἱερῷ,ἱερῷ,ἱερῷ,ῷ,ι,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,ἵδρυε,(),False,x̔xxx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
καθαρωτάτῳ,καθαρωτάτῳ,καθαρωτάτῳ,καθαρωτάτῳ,τῳ,κ,-20.0,ADJ,a-s---nd-,Case=Dat|Degree=Sup|Gender=Neut|Number=Sing,nmod,0.0,ἱερῷ,(),False,xxxx́xxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,Sup
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,οὐσίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
σωματικῆς,σωματικῆς,σωματικῆς,σωματικῆς,ῆς,σ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,οὐσίας,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
οὐσίας,οὐσίας,οὐσία,οὐσίας,́ας,ο,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἱερῷ,(),False,xx̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἵδρυε,ἵδρυε,ἵδρυε,ἵδρυε,ρυε,ι,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,ἀγάλματα,(),False,x̔́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,οὐρανῷ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
οὐρανῷ,οὐρανῷ,οὐρανῷ,οὐρανῷ,ῷ,ο,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ἵδρυε,(),False,xx̓xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἵδρυε,(),False,",",False,True,False,False,,,,,,,,,,
πολλῶν,πολλῶν,πολλῶν,πολλῶν,ῶν,π,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,dep,0.0,ἀγάλματα,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
χάριν,χάριν,χάριν,χάριν,ριν,χ,-20.0,ADP,r--------,,case,0.0,πολλῶν,(),False,xx́xxx,False,False,False,False,,,,,,,,,,
