orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Tense,VerbForm,Voice,Mood,Person
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,dep,0.0,παραδηλωθήσεται,(),False,x̔x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,discourse,0.0,παραδηλωθήσεται,(),False,xx̀x,False,False,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,μεγεθῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
κολοσσιαίων,κολοσσιαίων,κολοσσιαίων,κολοσσιαίων,́ων,κ,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,μεγεθῶν,(),False,xxxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,,
μεγεθῶν,μεγεθῶν,μεγεθῶν,μεγεθῶν,ῶν,μ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἐμφάσεις,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἐμφάσεις,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἐμφάσεις,ἐμφάσεις,ἐμφάσεις,ἐμφάσεις,εις,ε,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,δέχεται,(),False,x̓xxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,δέχεται,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,σφραγὶς,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
βραχυτάτη,βραχυτάτη,βραχυτάτη,βραχυτάτη,́τη,β,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,σφραγὶς,(),False,xxxx́xx,False,False,False,False,Nom,Fem,Sing,Sup,,,,,
σφραγὶς,σφραγὶς,σφραγὶς,σφραγὶς,ὶς,σ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,δέχεται,(),False,xxxx̀x,False,False,False,False,Nom,Fem,Sing,,,,,,
τυπωθεῖσα,τυπωθεῖσα,τυπωθεῖσα,τυπωθεῖσα,͂σα,τ,-20.0,VERB,v-sappfn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,σφραγὶς,(),False,xxxx͂xx,False,False,False,False,Nom,Fem,Sing,,Past,Part,Pass,,
δέχεται,δέχεται,δέχομαι,δέχεται,ται,δ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,advcl,0.0,παραδηλωθήσεται,(),False,xx́xxxx,False,False,False,False,,,Sing,,Pres,Fin,Mid,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δέχεται,(),False,",",False,True,False,False,,,,,,,,,
οὕτως,οὕτως,οὕτω(ς),οὕτως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,παραδηλωθήσεται,(),False,xx̔́xxx,False,False,False,False,,,,,,,,,
τάχα,τάχα,τάχα,τάχα,́χα,τ,-20.0,ADV,d--------,,advmod,0.0,παραδηλωθήσεται,(),False,xx́xx,False,False,False,False,,,,,,,,,
που,που,πού,που,που,π,-20.0,ADV,d--------,,advmod,0.0,παραδηλωθήσεται,(),False,xxx,True,False,False,False,,,,,,,,,
