orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Mood,Person,Aspect
ὅ,ὅ,ὅ,ὅ,ὅ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἥλιος,(),False,x̔́,False,False,False,False,Nom,Masc,Sing,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἥλιος,(),True,xx,True,False,False,False,,,,,,,,,,
μέγας,μέγας,μέγας,μέγας,γας,μ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἡγεμὼν,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἡγεμὼν,ἡγεμὼν,ἡγεμὼν,ἡγεμὼν,ὼν,η,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἡμέρας,(),False,x̔xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἡμέρας,ἡμέρας,ἡμέρα,ἡμέρας,ρας,η,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,ἥλιος,(),False,x̔xx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
ἥλιος,ἥλιος,ἥλιος,ἥλιος,ιος,η,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,ἥλιος,(),False,x̔́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
διττὰς,διττὰς,διττὰς,διττὰς,ὰς,δ,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἰσημερίας,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἐνιαυτὸν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ἐνιαυτὸν,(),False,’,False,True,False,False,,,,,,,,,,
ἕκαστον,ἕκαστον,ἕκαστος,ἕκαστον,τον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἐνιαυτὸν,(),False,x̔́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἐνιαυτὸν,ἐνιαυτὸν,ἐνιαυτὸν,ἐνιαυτὸν,ὸν,ε,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,ἀποτελῶν,(),False,x̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀποτελῶν,ἀποτελῶν,ἀποτελῶ,ἀποτελῶν,ῶν,α,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἥλιος,(),False,x̓xxxx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,,
