orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Degree
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ὑμνῆσαι,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,δύναιτο,(),False,xx̀x,False,False,False,False,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,δύναιτο,(),False,xx̓͂x,False,False,False,False,,,,,,,,,
κάλλος,κάλλος,κάλλος,κάλλος,λος,κ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,δύναιτο,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,νοημάτων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
νοημάτων,νοημάτων,νοημάτων,νοημάτων,των,ν,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,κάλλος,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,κοσμοποιίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
κοσμοποιίας,κοσμοποιίας,κοσμοποιία,κοσμοποιίας,́ας,κ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,νοημάτων,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
οὐδεὶς,οὐδεὶς,οὐδεὶς,οὐδεὶς,ὶς,ο,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,δύναιτο,(),False,xx̓xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,ADV,d--------,,advmod,0.0,ποιητὴς,(),False,xx̓́xx,False,False,False,False,,,,,,,,,
ποιητὴς,ποιητὴς,ποιητὴς,ποιητὴς,ὴς,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,οὐδεὶς,"(λογογράφος,)",False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
οὔτε,οὔτε,οὔτε,οὔτε,́τε,ο,-20.0,CCONJ,c--------,,cc,0.0,ποιητὴς,(),False,xx̓́xx,False,False,False,False,,,,,,,,,
λογογράφος,λογογράφος,λογογράφος,λογογράφος,φος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ποιητὴς,"(ποιητὴς,)",False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀξίως,ἀξίως,ἀξίως,ἀξίως,́ως,α,-20.0,ADV,d--------,,advmod,0.0,δύναιτο,(),False,x̓xx́xx,False,False,False,False,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,δύναιτο,(),False,x̓́x,False,False,False,False,,,,,,,,,
ὑμνῆσαι,ὑμνῆσαι,ὑμνῆζω,ὑμνῆσαι,σαι,υ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,δύναιτο,(),False,x̔xxx͂xxx,False,False,False,False,,,,Past,Inf,Act,,,
δύναιτο,δύναιτο,δύναμαι,δύναιτο,ιτο,δ,-20.0,VERB,v3spoe---,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,δύναιτο,(),False,xx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,Opt,3,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,δύναιτο,(),False,·,False,True,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ὑπερβάλλει,(),False,xxx̀,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ὑπερβάλλει,(),False,xx̀x,False,False,False,False,,,,,,,,,
λόγον,λόγον,λόγος,λόγον,γον,λ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ὑπερβάλλει,"(ἀκοὴν,)",False,xx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λόγον,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀκοὴν,ἀκοὴν,ἀκοὴ,ἀκοὴν,ὴν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,λόγον,"(λόγον,)",False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ὑπερβάλλει,ὑπερβάλλει,ὑπερβάλλω,ὑπερβάλλει,λει,υ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ὑπερβάλλει,(),False,x̔xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
μείζω,μείζω,μείζων,μείζω,́ζω,μ,-20.0,ADJ,a-p---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Plur,xcomp,0.0,ὑπερβάλλει,(),False,xxx́xx,False,False,False,False,Acc,Neut,Plur,,,,,,Cmp
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,d--------,,advmod,0.0,σεμνότερα,(),False,xxx̀,False,False,False,False,,,,,,,,,
σεμνότερα,σεμνότερα,σεμνός,σεμνότερα,ερα,σ,-20.0,ADJ,a-p---nac,Case=Acc|Degree=Cmp|Gender=Neut|Number=Plur,advmod,0.0,μείζω,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,Cmp
ὄντα,ὄντα,ὄντα,ὄντα,ντα,ο,-20.0,AUX,v-sppama-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,σεμνότερα,(),False,x̓́xxx,False,False,False,False,Acc,Neut,Plur,Pres,Part,Act,,,
