orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice
οὕτως,οὕτως,οὕτως,οὕτως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,διέφερεν,(),False,xx̔́xxx,False,False,False,False,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,διέφερεν,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,καλοῖς,(),False,x̓x,False,False,False,False,,,,,,,,,
ἅπασι,ἅπασι,ἅπας,ἅπασι,ασι,α,-20.0,ADJ,Px,Case=Dat|Gender=Masc|Number=Plur,nmod,0.0,καλοῖς,(),False,x̔́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,καλοῖς,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,
καλοῖς,καλοῖς,καλοῖς,καλοῖς,ῖς,κ,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,διέφερεν,(),False,xxxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,
διέφερεν,διέφερεν,διεαφ́ρω,διέφερεν,ρεν,δ,-20.0,VERB,V-,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,διέφερεν,(),False,xxx́xxxx,False,False,False,False,,,Sing,Imp,Ind,3,Past,Fin,Act
ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ὶ᾽,ε,-20.0,PUNCT,V-,,ROOT,0.0,ἐπὶ᾽,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,,
αὐτὸ,αὐτὸ,αὐτὸ,αὐτὸ,τὸ,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,πέρας,(),False,xx̓xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,πέρας,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
πέρας,πέρας,πέρας,πέρας,ρας,π,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,φθάνων,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
φθάνων,φθάνων,φθάνων,φθάνων,νων,φ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐπὶ᾽,(),False,xxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,Past,Part,Act
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,εὐδαιμονίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀνθρωπίνης,ἀνθρωπίνης,ἀνθρωπίνης,ἀνθρωπίνης,νης,α,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,εὐδαιμονίας,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
εὐδαιμονίας,εὐδαιμονίας,εὐδαιμονία,εὐδαιμονίας,́ας,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,φθάνων,(),False,xx̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐπὶ᾽,(),False,.,False,True,False,False,,,,,,,,,
