orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number
ἑτέρα,ἑτέρα,ἑτέρος,ἑτέρα,́ρα,ε,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἑτέρα,(),False,x̔xx́xx,False,False,False,False,Nom,Fem,Sing
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,βάσανος,(),False,xx̀,False,False,False,False,,,
βάσανος,βάσανος,βάσανος,βάσανος,νος,β,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἑτέρα,(),False,xx́xxxx,False,False,False,False,Gen,Fem,Sing
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἁρμονικῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing
ἁρμονικῆς,ἁρμονικῆς,ἁρμονικῆ,ἁρμονικῆς,ῆς,α,-20.0,NOUN,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,βάσανος,(),False,x̔xxxx͂x,False,False,False,False,Gen,Fem,Sing
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἑτέρα,(),False,.,False,True,False,False,,,
