orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Mood,Person,Aspect
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἀρχηγέτην,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐροῦμεν,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,case,0.0,ἐροῦμεν,(),False,’,False,True,False,False,,,,,,,,,,
ἀρχηγέτην,ἀρχηγέτην,ἀρχηγέτης,ἀρχηγέτην,την,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,λέγοντες,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἐκεῖνον,ἐκεῖνον,ἐκεῖνος,ἐκεῖνον,νον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἀρχηγέτην,(),False,x̓xxx͂xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,μόνον,(),False,xx̓,False,False,False,False,,,,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,advmod,0.0,ἄνθρωπον,(),False,xx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἄνθρωπον,(),False,xxx͂xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,ἀρχηγέτην,"(κοσμοπολίτην,)",False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,c--------,,cc,0.0,ἄνθρωπον,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,μόνον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,amod,0.0,κοσμοπολίτην,(),False,xx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
κοσμοπολίτην,κοσμοπολίτην,κοσμοπολίτης,κοσμοπολίτην,την,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἄνθρωπον,"(ἄνθρωπον,)",False,xxxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
λέγοντες,λέγοντες,λέγω,λέγοντες,τες,λ,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐροῦμεν,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Act,,,,
ἀψευδέστατα,ἀψευδέστατα,ἀψευδέσς,ἀψευδέστατα,ατα,α,-20.0,ADJ,a-p---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Plur,advmod,0.0,ἐροῦμεν,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,Sup,,,
ἐροῦμεν,ἐροῦμεν,ἐροῦμεν,ἐροῦμεν,μεν,ε,-20.0,VERB,v1pfia---,Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐροῦμεν,(),False,x̓xxx͂xxx,False,False,False,False,,,Plur,Fut,Fin,Act,,Ind,1,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐροῦμεν,(),False,·,False,True,False,False,,,,,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,οἶκος,(),False,x̓͂x,False,False,False,False,,,Sing,Past,Fin,Act,,Ind,3,Imp
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,οἶκος,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οἶκος,οἶκος,οἶκος,οἶκος,κος,ο,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,οἶκος,"(πόλις, ζῶν)",False,xx̓͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
αὐτῷ,αὐτῷ,αὐτῷ,αὐτῷ,ῷ,α,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,οἶκος,(),False,xx̓xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,d--------,,cc,0.0,οἶκος,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πόλις,πόλις,πόλις,πόλις,λις,π,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,οἶκος,"(οἶκος, ζῶν)",False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,κόσμος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
κόσμος,κόσμος,κόσμος,κόσμος,μος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,οἶκος,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δεδημιουργημένης,(),False,",",False,True,False,False,,,,,,,,,,
μηδεμιᾶς,μηδεμιᾶς,μηδεμιᾶς,μηδεμιᾶς,ᾶς,μ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,κατασκευῆς,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
χειροποιήτου,χειροποιήτου,χειροποιήτου,χειροποιήτου,του,χ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,κατασκευῆς,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
κατασκευῆς,κατασκευῆς,κατασκευῆς,κατασκευῆς,ῆς,κ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nsubj,0.0,δεδημιουργημένης,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
δεδημιουργημένης,δεδημιουργημένης,δεδημιουργημένης,δεδημιουργημένης,νης,δ,-20.0,VERB,v-srpefg-,Aspect=Perf|Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,οἶκος,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,Past,Part,Mid,,,,Perf
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,λίθων,(),False,x̓x,False,False,False,False,,,,,,,,,,
λίθων,λίθων,λίθος,λίθων,θων,λ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,δεδημιουργημένης,"(ξύλων,)",False,xx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λίθων,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ξύλων,ξύλων,ξύλον,ξύλων,λων,ξ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,λίθων,"(λίθων,)",False,xx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
