orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
λεκτέον,λεκτέον,λεκτέος,λεκτέον,́ον,λ,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,λεκτέον,(),False,xxxx́xx,False,False,False,False,Imp,Ind,Sing,3,Past,Fin,Act,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λεκτέον,(),False,xx̀,False,False,False,False,,,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,οἷόν,(),False,x̔́xx,False,False,False,False,,,Plur,,,,,Nom,Neut
οἷόν,οἷόν,οἷόν,οἷόν,όν,ο,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ccomp,0.0,λεκτέον,(),False,xx̔͂x́x,False,False,False,False,,,Sing,,,,,Nom,Neut
τέ,τέ,τέ,τέ,τέ,τ,-20.0,ADV,d--------,,advmod,0.0,οἷόν,(),False,xx́,False,False,False,False,,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,οἷόν,(),False,x̓xxx,False,False,False,False,,Ind,Sing,3,Pres,Fin,Act,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἐμπεριεχομένων,(),False,xx͂x,False,False,False,False,,,Plur,,,,,Gen,Neut
ἐμπεριεχομένων,ἐμπεριεχομένων,ἐμπεριεχομένων,ἐμπεριεχομένων,νων,ε,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,οἷόν,(),False,x̓xxxx́xxx,False,False,False,False,,,Plur,,Pres,Part,Mid,Gen,Masc
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπειδὴ,(),False,",",False,True,False,False,,,,,,,,,
ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,δὴ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἀμήχανον,(),False,x̓xxxx̀,False,False,False,False,,,,,,,,,
πάντα,πάντα,πάντα,πάντα,ντα,π,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἀμήχανον,(),False,xx́xxx,False,False,False,False,,,Plur,,,,,Nom,Neut
ἀμήχανον,ἀμήχανον,ἀμήχανος,ἀμήχανον,νον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,advcl,0.0,λεκτέον,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,,,,,Nom,Neut
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λεκτέον,(),False,·,False,True,False,False,,,,,,,,,
