orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree
αὐτίκα,αὐτίκα,αὐτίκα,αὐτίκα,́κα,α,-20.0,ADV,d--------,,advmod,0.0,φασι,(),False,xx̓xx́xx,False,False,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,οὐρανόν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,
οὐρανόν,οὐρανόν,οὐρανός,οὐρανόν,όν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,διεζῶσθαι,(),False,xx̓xxxx́x,False,False,False,False,Acc,Masc,Sing,,,,,,
φασι,φασι,φημί,φασι,ασι,φ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φασι,(),False,xxxx,True,False,False,False,,,Plur,Ind,3,Pres,Fin,Act,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,nummod,0.0,διεζῶσθαι,(),False,x̔xxx̀,False,False,False,False,,,,,,,,,
διεζῶσθαι,διεζῶσθαι,διεζῶσθαι,διεζῶσθαι,θαι,δ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,ccomp,0.0,φασι,(),False,xxxx͂xxxx,False,False,False,False,,,,,,Pres,Inf,Mid,
κύκλοις,κύκλοις,κύκλος,κύκλοις,οις,κ,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,διεζῶσθαι,(),False,xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τάδε,(),False,",",False,True,False,False,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ὀνόματα,(),False,x̔͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ὀνόματα,ὀνόματα,ὀνόματα,ὀνόματα,ατα,ο,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,τάδε,(),False,x̓xx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,ὀνόματα,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,
τάδε,τάδε,τάδε,τάδε,́δε,τ,-20.0,PRON,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,appos,0.0,διεζῶσθαι,(),False,xx́xx,False,False,False,False,Nom,Neut,Plur,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,φασι,(),False,·,False,True,False,False,,,,,,,,,
