orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree,Aspect
τεκμηριώσαιτο,τεκμηριώσαιτο,τεκμηριώσαιτο,τεκμηριώσαιτο,ιτο,τ,-20.0,VERB,v3saom---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,τεκμηριώσαιτο,(),False,xxxx́xxxx,False,False,False,False,Opt,Sing,3,Past,Fin,Mid,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,Df,,discourse,0.0,τεκμηριώσαιτο,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,Df,,advmod,0.0,τεκμηριώσαιτο,(),False,’,False,True,False,False,,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,Df,,advmod,0.0,τεκμηριώσαιτο,(),False,x̓́x,False,False,False,False,,,,,,,,,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,τεκμηριώσαιτο,(),True,xxx,True,False,False,False,,Sing,,,,,Nom,Masc,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,τοῦ,(),False,x̓x,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,κεχρῆσθαι,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Masc,,
πὰν,πὰν,πὰς,πὰν,ὰν,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,σῶμα,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Neut,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nsubj,0.0,κεχρῆσθαι,(),False,xx͂xx,False,False,False,False,,Sing,,,,,Acc,Neut,,
ὀργανικὸν,ὀργανικὸν,ὀργανικὸν,ὀργανικὸν,ὸν,ο,-20.0,ADJ,A-,"Case=Acc|Degree=Pos|Gender=Masc,Neut|Number=Sing",amod,0.0,σῶμα,(),False,x̓xxxx̀x,False,False,False,False,,Sing,,,,,Acc,"Masc,Neut",Pos,
τρισὶ,τρισὶ,τρισὶ,τρισὶ,σὶ,τ,-20.0,NUM,Ma,Case=Dat|Gender=Masc|Number=Plur,dep,0.0,κεχρῆσθαι,(),False,xxxx̀,False,False,False,False,,Plur,,,,,Dat,Masc,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,Df,,advmod,0.0,κεχρῆσθαι,(),False,xx̀x,False,False,False,False,,,,,,,,,,
